City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
201,Anadyr,RU,2022-11-01 08:53:31,64.75,177.4833,12.7,92,100,31.32
202,Arawa,PG,2022-11-01 09:02:15,-6.2132,155.5367,78.96,90,33,0.51
203,Talara,PE,2022-11-01 09:02:16,-4.5772,-81.2719,61.45,88,72,13.71
204,Chulumani,BO,2022-11-01 09:02:17,-16.4096,-67.5263,60.66,99,100,3.42
205,Saint-Georges,GD,2022-11-01 09:02:18,12.0564,-61.7485,78.6,88,61,11.34
206,Prince Rupert,CA,2022-11-01 09:00:42,54.3161,-130.3201,36.34,78,78,6.29
207,Nome,US,2022-11-01 09:02:18,64.5011,-165.4064,21.11,86,100,10.13
208,Ilulissat,GL,2022-11-01 09:02:20,69.2167,-51.1,26.62,80,75,10.36
209,Codrington,AU,2022-11-01 09:02:20,-38.2667,141.9667,45.75,76,25,20.92
210,Thompson,CA,2022-11-01 08:54:54,55.7435,-97.8558,23.16,74,100,5.75
211,Dukat,RU,2022-11-01 09:02:22,62.55,155.55,-15.83,100,11,1.95
212,Bethel,US,2022-11-01 09:02:22,41.3712,-73.414,59.02,88,100,4.12
213,Viransehir,TR,2022-11-01 09:02:23,37.2353,39.7631,71.85,21,0,8.3
214,San Quintin,MX,2022-11-01 09:02:23,30.4833,-115.95,64.92,74,100,2.24
215,Bourail,NC,2022-11-01 09:02:24,-21.5667,165.4833,75.74,76,79,3.06
216,Caningay,PH,2022-11-01 09:02:24,9.8297,122.6442,78.73,85,64,6.6
217,Tessalit,ML,2022-11-01 09:02:25,20.1986,1.0114,80.87,17,75,14.5
218,Shakhtinsk,KZ,2022-11-01 09:02:26,49.71,72.5872,42.42,65,99,12.57
219,Yumen,CN,2022-11-01 09:02:26,40.2833,97.2,53.2,21,60,20.83
220,Balugaon,IN,2022-11-01 09:02:27,20.1667,85.1,85.51,53,87,2.55
221,Asmara,ER,2022-11-01 08:55:04,15.3333,38.9333,67.24,38,13,5.14
222,Divo,CI,2022-11-01 09:02:28,5.8397,-5.36,78.13,85,39,1.92
223,Palu,ID,2022-11-01 08:58:36,-0.8917,119.8707,81.3,89,99,1.61
224,Byron Bay,AU,2022-11-01 09:02:18,-28.65,153.6167,69.94,69,0,8.57
225,Pyu,MM,2022-11-01 09:02:30,18.4833,96.4333,86.61,69,17,4.94
226,Ballina,AU,2022-11-01 09:02:30,-28.8667,153.5667,70.02,57,3,8.81
227,Amapa,BR,2022-11-01 09:02:31,1.0,-52.0,70.95,100,100,1.07
228,Bataipora,BR,2022-11-01 09:02:31,-22.2953,-53.2711,54.9,82,100,12.71
229,Adrar,MR,2022-11-01 09:02:32,20.5022,-10.0711,77.18,14,0,11.43
230,Klyuchi,RU,2022-11-01 09:02:33,52.2667,79.1667,47.01,49,31,9.8
231,Albania,AL,2022-11-01 09:02:34,41.0,20.0,77.47,30,0,2.91
232,Atambua,ID,2022-11-01 09:03:34,-9.1061,124.8925,80.24,75,99,1.05
233,Sorland,NO,2022-11-01 09:03:35,67.667,12.6934,49.86,90,100,20.2
234,Kysyl-Syr,RU,2022-11-01 09:03:35,63.8986,122.7617,0.16,99,37,4.29
235,Saldanha,ZA,2022-11-01 09:03:36,-33.0117,17.9442,69.51,50,0,13.13
236,Hornepayne,CA,2022-11-01 09:03:36,49.2138,-84.7705,43.61,74,100,7.34
237,Tecoanapa,MX,2022-11-01 09:03:37,16.5167,-98.75,75.72,89,6,3.98
238,Ribeira Grande,PT,2022-11-01 08:55:13,38.5167,-28.7,63.77,77,75,11.5
239,Ceres,US,2022-11-01 09:00:05,37.5949,-120.9577,56.05,87,22,2.08
240,Dunedin,NZ,2022-11-01 09:03:38,-45.8742,170.5036,57.54,72,100,8.37
241,Iaciara,BR,2022-11-01 09:00:44,-14.0958,-46.6317,71.11,91,100,0.89
242,Martapura,ID,2022-11-01 09:03:39,-3.4167,114.85,82.49,65,40,8.05
243,Nova Londrina,BR,2022-11-01 09:03:39,-22.7658,-52.985,55.36,79,99,18.86
244,Villanueva,HN,2022-11-01 09:03:40,15.3167,-88.0,69.04,94,20,4.61
245,Shingu,JP,2022-11-01 09:03:40,33.7333,135.9833,64.18,91,100,9.69
246,Moundsville,US,2022-11-01 09:03:40,39.9203,-80.7431,59.02,97,67,5.66
247,Tilichiki,RU,2022-11-01 09:03:41,60.4667,166.1,-0.13,87,4,11.92
248,Bereznik,RU,2022-11-01 09:03:42,62.8551,42.7072,34.7,85,97,4.38
249,Quelimane,MZ,2022-11-01 09:03:42,-17.8786,36.8883,91.18,45,79,9.8
250,Victoria,HK,2022-11-01 09:01:16,22.2855,114.1577,69.33,87,100,18.01
251,Gonzales,US,2022-11-01 09:00:52,30.2385,-90.9201,58.08,94,0,0.0
252,Dossor,KZ,2022-11-01 09:03:43,47.5272,52.9811,41.11,47,100,27.02
253,Grimshaw,CA,2022-11-01 09:03:44,56.1834,-117.6027,29.16,93,100,5.75
254,Upernavik,GL,2022-11-01 09:03:45,72.7868,-56.1549,23.97,86,100,7.45
255,Torbay,CA,2022-11-01 09:03:45,47.6666,-52.7314,42.58,83,94,4.0
256,Saint Stephen,GB,2022-11-01 09:03:45,50.3333,-4.9,53.87,87,40,10.36
257,Kroya,ID,2022-11-01 09:03:46,-7.6331,109.2461,80.49,79,93,10.07
258,Camacha,PT,2022-11-01 09:03:47,33.0833,-16.3333,65.62,88,75,6.91
259,Atar,MR,2022-11-01 09:02:22,20.5169,-13.0499,82.71,12,0,8.39
260,Santa Cruz De La Palma,ES,2022-11-01 09:03:47,28.6835,-17.7642,76.14,78,40,8.05
261,Ancud,CL,2022-11-01 09:03:48,-41.8697,-73.8203,40.44,79,0,5.48
262,Husavik,IS,2022-11-01 09:03:49,66.0449,-17.3389,37.49,96,100,3.8
263,Isangel,VU,2022-11-01 09:03:49,-19.55,169.2667,77.36,82,44,5.86
264,Mizdah,LY,2022-11-01 09:03:50,31.4451,12.9801,66.67,57,0,2.35
265,Port Hardy,CA,2022-11-01 09:03:50,50.6996,-127.4199,41.36,82,100,7.05
266,Bengkulu,ID,2022-11-01 08:54:52,-3.8004,102.2655,80.33,79,88,3.62
267,Port Keats,AU,2022-11-01 09:03:51,-14.25,129.55,86.09,64,3,9.95
268,Cap Malheureux,MU,2022-11-01 09:03:51,-19.9842,57.6142,79.47,58,1,8.99
269,Baykit,RU,2022-11-01 09:03:52,61.67,96.37,20.08,91,28,2.21
270,Olafsvik,IS,2022-11-01 09:03:53,64.8945,-23.7142,44.15,86,85,3.47
271,Caucaia,BR,2022-11-01 09:01:34,-3.7361,-38.6531,80.04,75,100,7.96
272,Punta De Bombon,PE,2022-11-01 09:03:54,-17.1717,-71.7931,61.36,84,47,6.38
273,Vanimo,PG,2022-11-01 09:03:54,-2.6741,141.3028,80.98,84,99,5.99
274,Camargo,MX,2022-11-01 09:03:55,27.6667,-105.1667,57.45,54,0,3.8
275,Huarmey,PE,2022-11-01 09:03:56,-10.0681,-78.1522,61.27,88,19,7.96
276,Narsaq,GL,2022-11-01 09:03:56,60.9167,-46.05,19.62,74,80,6.02
277,Sawtell,AU,2022-11-01 09:03:57,-30.3833,153.1,69.82,46,0,10.36
278,Roald,NO,2022-11-01 09:01:19,62.5833,6.1333,55.33,62,0,5.75
279,Havoysund,NO,2022-11-01 09:03:58,70.9963,24.6622,39.43,97,100,16.44
280,Mujiayingzi,CN,2022-11-01 09:03:59,42.1167,118.7833,42.17,21,97,2.75
281,Impfondo,CG,2022-11-01 09:02:17,1.6381,18.0667,87.13,57,88,1.03
282,Marondera,ZW,2022-11-01 09:05:00,-18.1853,31.5519,75.45,45,95,7.99
283,Mandera,KE,2022-11-01 09:05:00,3.9366,41.867,88.68,47,38,7.34
284,North Bend,US,2022-11-01 09:05:01,43.4065,-124.2243,49.86,97,100,5.75
285,Leh,IN,2022-11-01 09:05:02,34.1667,77.5833,39.45,37,80,4.52
286,Indramayu,ID,2022-11-01 09:05:02,-6.3264,108.32,84.97,64,99,9.35
287,Domoni,KM,2022-11-01 09:05:04,-12.2569,44.5319,81.99,68,38,7.34
288,Santiago,CL,2022-11-01 09:02:22,-33.4569,-70.6483,67.55,39,0,5.84
289,Yerbogachen,RU,2022-11-01 09:05:05,61.2767,108.0108,22.95,96,100,5.66
290,Kuvshinovo,RU,2022-11-01 09:05:05,57.0295,34.1725,35.31,69,100,4.41
291,Urumqi,CN,2022-11-01 09:00:07,43.801,87.6005,49.15,43,0,4.47
292,Elko,US,2022-11-01 09:00:23,41.0002,-115.5012,46.06,33,100,5.01
